wn30,cn
00098529-a,/c/en/apocrine
00098736-a,/c/en/eccrine
00098933-a,/c/en/artesian
00099097-a,/c/en/subartesian
00099290-a,/c/en/live
00099874-a,/c/en/dead
00100634-a,/c/en/alphabetic
00101152-a,/c/en/analphabetic
00101331-a,/c/en/altricial
00101452-a,/c/en/precocial
00101609-a,/c/en/altruistic
00101800-a,/c/en/egoistic
00102201-a,/c/en/ambiguous
00103696-a,/c/en/unambiguous
00104051-a,/c/en/ambitious
00105023-a,/c/en/unambitious
00105388-a,/c/en/ametropic
00105566-a,/c/en/emmetropic
00105746-a,/c/en/ample
00106456-a,/c/en/meager
00107648-a,/c/en/anabolic
00107984-a,/c/en/catabolic
00108263-a,/c/en/anaclinal
00108434-a,/c/en/cataclinal
00108595-a,/c/en/anastigmatic
00108698-a,/c/en/astigmatic
00109016-a,/c/en/anticlinal
00109133-a,/c/en/synclinal
00109261-a,/c/en/anadromous
00109382-a,/c/en/catadromous
00109504-a,/c/en/diadromous
00109633-a,/c/en/anabatic
00109782-a,/c/en/katabatic
00109966-a,/c/en/anal
00110252-a,/c/en/oral
00110497-a,/c/en/analogue
00110701-a,/c/en/digital
00110853-a,/c/en/analytic
00111129-a,/c/en/synthetic
00111415-a,/c/en/analytic
00111856-a,/c/en/synthetic
00112231-a,/c/en/analytic
00112628-a,/c/en/synthetic
00113015-a,/c/en/inflectional
00113245-a,/c/en/derivational
00113476-a,/c/en/apocarpous
00113663-a,/c/en/syncarpous
00113818-a,/c/en/angry
00116463-a,/c/en/unangry
00116529-a,/c/en/resentful
00117106-a,/c/en/unresentful
00117385-a,/c/en/sentient
00117754-a,/c/en/insentient
00118066-a,/c/en/animate
00118238-a,/c/en/inanimate
00118567-a,/c/en/animated
00119409-a,/c/en/unanimated
00119875-a,/c/en/enlivened
00120132-a,/c/en/unenlivened
00120252-a,/c/en/animate
00120411-a,/c/en/inanimate
00120574-a,/c/en/anonymous
00121034-a,/c/en/onymous
00121552-a,/c/en/antemortem
00121649-a,/c/en/postmortem
00121865-a,/c/en/antecedent
00122626-a,/c/en/subsequent
00123653-a,/c/en/antrorse
00123804-a,/c/en/retrorse
00124077-a,/c/en/aquatic
00124918-a,/c/en/terrestrial
00125319-a,/c/en/amphibious
00125711-a,/c/en/preceding
00127296-a,/c/en/succeeding
00128467-a,/c/en/precedented
00128572-a,/c/en/unprecedented
00128882-a,/c/en/prehensile
00129029-a,/c/en/nonprehensile
00129103-a,/c/en/prenatal
00129276-a,/c/en/perinatal
00129467-a,/c/en/postnatal
00129612-a,/c/en/preprandial
00129729-a,/c/en/postprandial
00129878-a,/c/en/prewar
00130017-a,/c/en/postwar
00130151-a,/c/en/retrograde
00130281-a,/c/en/anterograde
00130412-a,/c/en/antemeridian
00130596-a,/c/en/postmeridian
00130778-a,/c/en/anterior
00131426-a,/c/en/posterior
00132127-a,/c/en/dorsal
00132385-a,/c/en/ventral
00132849-a,/c/en/appealable
00133065-a,/c/en/unappealable
00133259-a,/c/en/appendaged
00133335-a,/c/en/unappendaged
00133417-a,/c/en/appetizing
00133851-a,/c/en/unappetizing
00134060-a,/c/en/approachable
00134401-a,/c/en/unapproachable
00134701-a,/c/en/appropriate
00135718-a,/c/en/inappropriate
00136354-a,/c/en/due
00137641-a,/c/en/undue
00137725-a,/c/en/due
00137943-a,/c/en/undue
00138169-a,/c/en/apropos
00138622-a,/c/en/malapropos
00138912-a,/c/en/priori
00139126-a,/c/en/posteriori
00139344-a,/c/en/apteral
00139870-a,/c/en/peripteral
00140233-a,/c/en/arbitrable
00140437-a,/c/en/nonarbitrable
00140542-a,/c/en/columned
00141522-a,/c/en/noncolumned
00141818-a,/c/en/arboreal
00141947-a,/c/en/nonarboreal
00142040-a,/c/en/arenaceous
00142270-a,/c/en/argillaceous
00142407-a,/c/en/armed
00142917-a,/c/en/unarmed
00143589-a,/c/en/armored
00144728-a,/c/en/unarmored
00144877-a,/c/en/armed
00145995-a,/c/en/unarmed
00146210-a,/c/en/armed
00146786-a,/c/en/armless
00146883-a,/c/en/armored
00147528-a,/c/en/unarmored
00147734-a,/c/en/artful
00149861-a,/c/en/artless
00150202-a,/c/en/articulate
00151105-a,/c/en/inarticulate
00152896-a,/c/en/speaking
00153239-a,/c/en/nonspeaking
00153410-a,/c/en/articulated
00153652-a,/c/en/unarticulated
00153898-a,/c/en/ashamed
00154965-a,/c/en/unashamed
00156101-a,/c/en/assertive
00156839-a,/c/en/unassertive
00157389-a,/c/en/associative
00157849-a,/c/en/nonassociative
00157925-a,/c/en/attached
00158407-a,/c/en/unattached
00158701-a,/c/en/affixed
00159381-a,/c/en/unaffixed
00159498-a,/c/en/sessile
00159735-a,/c/en/pedunculate
00159975-a,/c/en/sessile
00160144-a,/c/en/vagile
00160425-a,/c/en/attached
00160573-a,/c/en/detached
00161065-a,/c/en/stuck
00161276-a,/c/en/unstuck
00161431-a,/c/en/attachable
00162083-a,/c/en/detachable
00162386-a,/c/en/wary
00162990-a,/c/en/unwary
00163592-a,/c/en/attentive
00164863-a,/c/en/inattentive
00166146-a,/c/en/attractive
00169164-a,/c/en/unattractive
00169955-a,/c/en/attractive
00170156-a,/c/en/repulsive
00170358-a,/c/en/appealing
00171044-a,/c/en/unappealing
00171590-a,/c/en/attributable
00172452-a,/c/en/unattributable
00172562-a,/c/en/attributive
00172993-a,/c/en/predicative
00173220-a,/c/en/pregnant
00173694-a,/c/en/nonpregnant
00173764-a,/c/en/audible
00174379-a,/c/en/inaudible
00175528-a,/c/en/sonic
00175719-a,/c/en/subsonic
00175887-a,/c/en/supersonic
00176150-a,/c/en/auspicious
00176838-a,/c/en/inauspicious
00177186-a,/c/en/propitious
00177963-a,/c/en/unpropitious
00178575-a,/c/en/authorized
00179486-a,/c/en/unauthorized
00179925-a,/c/en/constitutional
00180211-a,/c/en/unconstitutional
00180359-a,/c/en/autochthonous
00180496-a,/c/en/allochthonous
00180655-a,/c/en/autoecious
00180835-a,/c/en/heteroecious
00181030-a,/c/en/autogenous
00181373-a,/c/en/heterogenous
00181476-a,/c/en/automatic
00182843-a,/c/en/manual
00183053-a,/c/en/available
00185921-a,/c/en/unavailable
00186616-a,/c/en/awake
00187736-a,/c/en/asleep
00189580-a,/c/en/astringent
00190023-a,/c/en/nonastringent
00190115-a,/c/en/cognizant
00191603-a,/c/en/unaware
00192756-a,/c/en/witting
00192880-a,/c/en/unwitting
00193015-a,/c/en/alarming
00196560-a,/c/en/unalarming
00196664-a,/c/en/anemophilous
00196799-a,/c/en/entomophilous
00196934-a,/c/en/reassuring
00197447-a,/c/en/unreassuring
00197576-a,/c/en/back
00198147-a,/c/en/front
00198904-a,/c/en/leading
00199569-a,/c/en/following
00200026-a,/c/en/backed
00201130-a,/c/en/backless
00201354-a,/c/en/backward
00203237-a,/c/en/forward
00203774-a,/c/en/forward
00203917-a,/c/en/reverse
00204077-a,/c/en/backward
00204491-a,/c/en/forward
00206003-a,/c/en/balconied
00206127-a,/c/en/unbalconied
00206205-a,/c/en/barreled
00206317-a,/c/en/unbarreled
00206403-a,/c/en/beaked
00207467-a,/c/en/beakless
00207547-a,/c/en/bedded
00207961-a,/c/en/bedless
00208052-a,/c/en/beneficed
00208150-a,/c/en/unbeneficed
00208229-a,/c/en/stratified
00208946-a,/c/en/unstratified
00209079-a,/c/en/ferned
00209550-a,/c/en/fernless
00209620-a,/c/en/grassy
00210212-a,/c/en/grassless
00210281-a,/c/en/gusseted
00210371-a,/c/en/ungusseted
00210446-a,/c/en/hairless
00212173-a,/c/en/hairy
00216858-a,/c/en/awned
00217183-a,/c/en/awnless
00217297-a,/c/en/bearing
00217563-a,/c/en/nonbearing
00217728-a,/c/en/beautiful
00220956-a,/c/en/ugly
00222662-a,/c/en/bellied
00222873-a,/c/en/bellyless
00222969-a,/c/en/banded
00223119-a,/c/en/unbanded
00223220-a,/c/en/belted
00223683-a,/c/en/unbelted
00223802-a,/c/en/beneficent
00224166-a,/c/en/maleficent
00224731-a,/c/en/malicious
00226535-a,/c/en/unmalicious
00226618-a,/c/en/benign
00227003-a,/c/en/malign
00227507-a,/c/en/best
00229630-a,/c/en/worst
00230335-a,/c/en/better
00231252-a,/c/en/worse
00231761-a,/c/en/better
00232068-a,/c/en/worse
00232234-a,/c/en/bettering
00233151-a,/c/en/worsening
00233263-a,/c/en/bicameral
00233353-a,/c/en/unicameral
00233442-a,/c/en/bidirectional
00234106-a,/c/en/unidirectional
00234872-a,/c/en/faced
00236483-a,/c/en/faceless
00236839-a,/c/en/bibbed
00236922-a,/c/en/bibless
00236989-a,/c/en/unilateral
00237240-a,/c/en/multilateral
00240197-a,/c/en/bimodal
00240323-a,/c/en/unimodal
00240417-a,/c/en/binaural
00240842-a,/c/en/monaural
00241260-a,/c/en/binucleate
00241397-a,/c/en/mononuclear
00241530-a,/c/en/trinucleate
00241672-a,/c/en/bipedal
00241816-a,/c/en/quadrupedal
00241952-a,/c/en/black
00243180-a,/c/en/white
00243606-a,/c/en/blond
00244503-a,/c/en/brunet
00245952-a,/c/en/blemished
00247013-a,/c/en/unblemished
00247439-a,/c/en/bloody
00249433-a,/c/en/bloodless
00249721-a,/c/en/bold
00251809-a,/c/en/timid
00252954-a,/c/en/bound
00254152-a,/c/en/unbound
00254516-a,/c/en/laced
00254615-a,/c/en/unlaced
00254746-a,/c/en/tied
00254983-a,/c/en/untied
00255057-a,/c/en/tangled
00256453-a,/c/en/untangled
00256636-a,/c/en/bound
00257462-a,/c/en/unbound
00257742-a,/c/en/bordered
00259256-a,/c/en/unbordered
00259329-a,/c/en/lotic
00259433-a,/c/en/lentic
00259568-a,/c/en/lower_class
00260430-a,/c/en/middle_class
00261245-a,/c/en/upper_class
00262124-a,/c/en/brachycephalic
00262529-a,/c/en/dolichocephalic
00262792-a,/c/en/brave
00264776-a,/c/en/cowardly
00266634-a,/c/en/gutsy
00266985-a,/c/en/gutless
00267145-a,/c/en/breast_fed
00267356-a,/c/en/bottle_fed
00267452-a,/c/en/breathing
00267871-a,/c/en/breathless
00268869-a,/c/en/crystalline
00269486-a,/c/en/noncrystalline
00269758-a,/c/en/landed
00269894-a,/c/en/landless
00269989-a,/c/en/light
00273082-a,/c/en/dark
00276472-a,/c/en/shaded
00277183-a,/c/en/unshaded
00277550-a,/c/en/shaded
00277867-a,/c/en/unshaded
00278006-a,/c/en/moonlit
00278131-a,/c/en/moonless
00278266-a,/c/en/bridgeable
00278418-a,/c/en/unbridgeable
00278551-a,/c/en/bright
00283703-a,/c/en/dull
00284575-a,/c/en/dimmed
00284930-a,/c/en/undimmed
00285148-a,/c/en/prejudiced
00286214-a,/c/en/unprejudiced
00286578-a,/c/en/broad_minded
00287640-a,/c/en/narrow_minded
00288685-a,/c/en/reconstructed
00288809-a,/c/en/unreconstructed
00289082-a,/c/en/broken
00289365-a,/c/en/unbroken
00289594-a,/c/en/broken
00289799-a,/c/en/unbroken
00289983-a,/c/en/broken
00290923-a,/c/en/unbroken
00291471-a,/c/en/brotherly
00291665-a,/c/en/sisterly
00291848-a,/c/en/exergonic
00292024-a,/c/en/endergonic
00292298-a,/c/en/fraternal
00292448-a,/c/en/identical
00292611-a,/c/en/buried
00292872-a,/c/en/unburied
00292937-a,/c/en/busy
00294175-a,/c/en/idle
00295657-a,/c/en/bony
00988988-a,/c/en/bony
00296354-a,/c/en/boneless
00296625-a,/c/en/buttoned
00297097-a,/c/en/unbuttoned
00297403-a,/c/en/capitalistic
00298041-a,/c/en/socialist
00298767-a,/c/en/cacophonous
00300738-a,/c/en/euphonious
00301187-a,/c/en/calculable
00301777-a,/c/en/incalculable
00302761-a,/c/en/calm
00303727-a,/c/en/stormy
00306131-a,/c/en/camphorated
00306232-a,/c/en/uncamphorated
00306314-a,/c/en/capable
00307474-a,/c/en/incapable
00308015-a,/c/en/capable
00308188-a,/c/en/incapable
00308355-a,/c/en/cared_for
00308593-a,/c/en/uncared_for
00309021-a,/c/en/careful
00311663-a,/c/en/careless
00313387-a,/c/en/carnivorous
00314023-a,/c/en/herbivorous
00315109-a,/c/en/omnivorous
00315383-a,/c/en/insectivorous
00315805-a,/c/en/holozoic
00315931-a,/c/en/holophytic
00316046-a,/c/en/carpellate
00316167-a,/c/en/acarpelous
00316274-a,/c/en/carpeted
00316477-a,/c/en/uncarpeted
00316572-a,/c/en/carvel_built
00316827-a,/c/en/clinker_built
00317008-a,/c/en/carved
00317821-a,/c/en/uncarved
00317886-a,/c/en/acatalectic
00318082-a,/c/en/catalectic
00318291-a,/c/en/hypercatalectic
00318498-a,/c/en/cauline
00318667-a,/c/en/radical
00318942-a,/c/en/censored
00319262-a,/c/en/uncensored
00319534-a,/c/en/caudate
00320847-a,/c/en/acaudate
00321094-a,/c/en/caulescent
00322321-a,/c/en/acaulescent
00322457-a,/c/en/causative
00325197-a,/c/en/noncausative
00325281-a,/c/en/cautious
00326436-a,/c/en/incautious
00327031-a,/c/en/cellular
00328128-a,/c/en/noncellular
00328528-a,/c/en/coherent
00328653-a,/c/en/incoherent
00328798-a,/c/en/compartmented
00329268-a,/c/en/uncompartmented
00329396-a,/c/en/porous
00329695-a,/c/en/nonporous
00329831-a,/c/en/central
00331446-a,/c/en/peripheral
00332375-a,/c/en/centrifugal
00332869-a,/c/en/centripetal
00333351-a,/c/en/afferent
00333987-a,/c/en/efferent
00334702-a,/c/en/centralising
00335090-a,/c/en/decentralising
00335421-a,/c/en/certain
00336168-a,/c/en/uncertain
00336831-a,/c/en/certain_p
00337404-a,/c/en/uncertain
00338421-a,/c/en/convinced
00338551-a,/c/en/unconvinced
00338817-a,/c/en/confident
00339941-a,/c/en/diffident
00340239-a,/c/en/certain
00341405-a,/c/en/uncertain
00342250-a,/c/en/certified
00342902-a,/c/en/uncertified
00343015-a,/c/en/inevitable
00343700-a,/c/en/evitable
00343883-a,/c/en/preventable
00344024-a,/c/en/unpreventable
00344125-a,/c/en/changeable
00346991-a,/c/en/unchangeable
00348198-a,/c/en/commutable
00348808-a,/c/en/incommutable
00349295-a,/c/en/alterable
00349523-a,/c/en/unalterable
00350069-a,/c/en/modifiable
00350384-a,/c/en/unmodifiable
00350621-a,/c/en/adjusted
00351226-a,/c/en/unadjusted
00351523-a,/c/en/adjusted
00351818-a,/c/en/maladjusted
00352127-a,/c/en/altered
00353206-a,/c/en/unaltered
00354090-a,/c/en/amended
00354330-a,/c/en/unamended
00354433-a,/c/en/changed
00355258-a,/c/en/unchanged
00355782-a,/c/en/isometric
00355950-a,/c/en/isotonic
00356110-a,/c/en/ionized
00356211-a,/c/en/nonionized
00356339-a,/c/en/mutable
00356648-a,/c/en/immutable
00356926-a,/c/en/characteristic
00357983-a,/c/en/uncharacteristic
00358132-a,/c/en/charged
00358951-a,/c/en/uncharged
00359459-a,/c/en/charitable
00359862-a,/c/en/uncharitable
00360041-a,/c/en/chartered
00360235-a,/c/en/unchartered
00360306-a,/c/en/owned
00360569-a,/c/en/unowned
00360650-a,/c/en/chaste
00361509-a,/c/en/unchaste
00362467-a,/c/en/cheerful
00364479-a,/c/en/cheerless
00365513-a,/c/en/chlamydeous
00365681-a,/c/en/achlamydeous
00365799-a,/c/en/chondritic
00365936-a,/c/en/achondritic
00366025-a,/c/en/monoclinic
00366185-a,/c/en/triclinic
00366355-a,/c/en/monochromatic
00366526-a,/c/en/polychromatic
00366691-a,/c/en/chromatic
00386392-a,/c/en/achromatic
00392812-a,/c/en/black
00393105-a,/c/en/white
00393508-a,/c/en/saturated
00393852-a,/c/en/unsaturated
00394135-a,/c/en/color
00394331-a,/c/en/black_and_white
00394562-a,/c/en/colored
00401650-a,/c/en/uncolored
00402004-a,/c/en/stained
00402159-a,/c/en/unstained
00402419-a,/c/en/colorful
00404202-a,/c/en/colorless
00406867-a,/c/en/colorful
00408031-a,/c/en/colorless
00408660-a,/c/en/light
00409440-a,/c/en/dark
00409750-a,/c/en/chromatic
00409889-a,/c/en/diatonic
00410078-a,/c/en/cismontane
00410449-a,/c/en/tramontane
00411009-a,/c/en/christian
00411481-a,/c/en/unchristian
00411886-a,/c/en/civilized
00412567-a,/c/en/noncivilized
00414227-a,/c/en/nonclassical
00414709-a,/c/en/classified
00415002-a,/c/en/unclassified
00415228-a,/c/en/classified
00416415-a,/c/en/unclassified
00416765-a,/c/en/analyzed
00417032-a,/c/en/unanalyzed
00417413-a,/c/en/clean
00419289-a,/c/en/dirty
00424008-a,/c/en/clean
00424370-a,/c/en/dirty
00426347-a,/c/en/clean
00426608-a,/c/en/dirty
00426907-a,/c/en/radioactive
00427255-a,/c/en/nonradioactive
00427331-a,/c/en/clean
00427786-a,/c/en/unclean
00428404-a,/c/en/clear
00430191-a,/c/en/unclear
00431447-a,/c/en/clear
00433115-a,/c/en/opaque
00434692-a,/c/en/radiolucent
00434838-a,/c/en/radiopaque
00435013-a,/c/en/clearheaded
00435492-a,/c/en/confused
00437539-a,/c/en/clement
00437852-a,/c/en/inclement
00438166-a,/c/en/clement
00438567-a,/c/en/inclement
00438707-a,/c/en/smart
00439588-a,/c/en/stupid
00441781-a,/c/en/clockwise
00442057-a,/c/en/counterclockwise
00442361-a,/c/en/far
00444519-a,/c/en/near
00445548-a,/c/en/distant
00446921-a,/c/en/close
00450606-a,/c/en/distant
00451510-a,/c/en/close
00453529-a,/c/en/cousinly
00453647-a,/c/en/uncousinly
00453726-a,/c/en/clothed
00457598-a,/c/en/unclothed
00460386-a,/c/en/saddled
00460536-a,/c/en/unsaddled
00460735-a,/c/en/clear
00461311-a,/c/en/cloudy
00462909-a,/c/en/coastal
00463784-a,/c/en/inland
00464399-a,/c/en/offshore
00464513-a,/c/en/coherent
00464962-a,/c/en/incoherent
00465737-a,/c/en/collapsible
00466365-a,/c/en/noncollapsible
00466577-a,/c/en/crannied
00466725-a,/c/en/uncrannied
00466808-a,/c/en/collective
00467913-a,/c/en/distributive
00469603-a,/c/en/publicized
00470111-a,/c/en/suppressed
00470930-a,/c/en/published
00471072-a,/c/en/unpublished
00471178-a,/c/en/publishable
00471260-a,/c/en/unpublishable
00471348-a,/c/en/reported
00471966-a,/c/en/unreported
00472057-a,/c/en/reportable
00472177-a,/c/en/unreportable
00472336-a,/c/en/combinative
00472810-a,/c/en/noncombinative
00472992-a,/c/en/combustible
00474043-a,/c/en/noncombustible
00474620-a,/c/en/explosive
00475008-a,/c/en/nonexplosive
00475125-a,/c/en/lighted
00475749-a,/c/en/unlighted
00475996-a,/c/en/commodious
00476494-a,/c/en/incommodious
00476819-a,/c/en/comfortable
00478015-a,/c/en/uncomfortable
00479330-a,/c/en/comfortable
00479933-a,/c/en/uncomfortable
00481222-a,/c/en/commensurate
00481855-a,/c/en/incommensurate
00482227-a,/c/en/proportionate
00483048-a,/c/en/disproportionate
00483146-a,/c/en/commercial
00484333-a,/c/en/noncommercial
00485044-a,/c/en/residential
00485252-a,/c/en/nonresidential
00485431-a,/c/en/commissioned
00485593-a,/c/en/noncommissioned
00485711-a,/c/en/common
00487653-a,/c/en/uncommon
00489108-a,/c/en/usual
00490035-a,/c/en/unusual
00491749-a,/c/en/hydrophobic
00491971-a,/c/en/hydrophilic
00492332-a,/c/en/oleophilic
00492595-a,/c/en/oleophobic
00492677-a,/c/en/common
00493460-a,/c/en/individual
00494907-a,/c/en/communicative
00500569-a,/c/en/uncommunicative
00502180-a,/c/en/compact
00503321-a,/c/en/loose
00503982-a,/c/en/comparable
00504592-a,/c/en/incomparable
00506299-a,/c/en/compassionate
00507053-a,/c/en/uncompassionate
00507464-a,/c/en/compatible
00508192-a,/c/en/incompatible
00509039-a,/c/en/compatible
00509206-a,/c/en/incompatible
00509377-a,/c/en/miscible
00509735-a,/c/en/immiscible
00510050-a,/c/en/competent
00511214-a,/c/en/incompetent
00512130-a,/c/en/competent
00512261-a,/c/en/incompetent
00512487-a,/c/en/competitive
00513165-a,/c/en/noncompetitive
00513799-a,/c/en/complaining
00514278-a,/c/en/uncomplaining
00514396-a,/c/en/compressible
00514717-a,/c/en/incompressible
00514884-a,/c/en/whole
00516539-a,/c/en/fractional
00517916-a,/c/en/whole
00518035-a,/c/en/half
00518164-a,/c/en/committed
00518716-a,/c/en/uncommitted
00519211-a,/c/en/dedicated
00520081-a,/c/en/undedicated
00520214-a,/c/en/complete
00523978-a,/c/en/incomplete
00525453-a,/c/en/comprehensive
00529075-a,/c/en/noncomprehensive
00529266-a,/c/en/composed
00531342-a,/c/en/discomposed
00532892-a,/c/en/comprehensible
00533851-a,/c/en/incomprehensible
00535452-a,/c/en/concave
00537339-a,/c/en/convex
00538565-a,/c/en/concentrated
00539793-a,/c/en/distributed
00542953-a,/c/en/concentric
00543200-a,/c/en/eccentric
00543603-a,/c/en/concerned
00545015-a,/c/en/unconcerned
00546646-a,/c/en/concise
00548781-a,/c/en/prolix
00550282-a,/c/en/conclusive
00550777-a,/c/en/inconclusive
00551806-a,/c/en/consummated
00552168-a,/c/en/unconsummated
00552315-a,/c/en/coordinating
00552618-a,/c/en/subordinating
00552841-a,/c/en/accordant
00553899-a,/c/en/discordant
00554478-a,/c/en/contracted
00554780-a,/c/en/expanded
00554879-a,/c/en/atrophied
00555117-a,/c/en/hypertrophied
00555325-a,/c/en/conditional
00556709-a,/c/en/unconditional
00557221-a,/c/en/enforceable
00557304-a,/c/en/unenforceable
00557478-a,/c/en/enforced
00557637-a,/c/en/unenforced
00557813-a,/c/en/conductive
00558232-a,/c/en/nonconductive
00558373-a,/c/en/confined
00559425-a,/c/en/unconfined
00559690-a,/c/en/crowded
00560453-a,/c/en/uncrowded
00560586-a,/c/en/congenial
00561036-a,/c/en/uncongenial
00561600-a,/c/en/congruent
00562026-a,/c/en/incongruent
00562116-a,/c/en/congruous
00562469-a,/c/en/incongruous
00563648-a,/c/en/conjunctive
00564262-a,/c/en/disjunctive
00565799-a,/c/en/conjunct
00565962-a,/c/en/disjunct
00566099-a,/c/en/connected
00567593-a,/c/en/unconnected
00569090-a,/c/en/conquerable
00569568-a,/c/en/unconquerable
00570590-a,/c/en/conscious
00571643-a,/c/en/unconscious
00573225-a,/c/en/consecrated
00573770-a,/c/en/desecrated
00574114-a,/c/en/priestly
00574308-a,/c/en/unpriestly
00574422-a,/c/en/conservative
00575230-a,/c/en/liberal
00576680-a,/c/en/consistent
00577920-a,/c/en/inconsistent
00579084-a,/c/en/conspicuous
00581401-a,/c/en/inconspicuous
00581812-a,/c/en/discernible
00582164-a,/c/en/indiscernible
00582314-a,/c/en/distinguishable
00582876-a,/c/en/indistinguishable
00583239-a,/c/en/constant
00583990-a,/c/en/inconstant
00584820-a,/c/en/constructive
00586183-a,/c/en/destructive
00588797-a,/c/en/contented
00589624-a,/c/en/discontented
00590390-a,/c/en/contestable
00590923-a,/c/en/incontestable
00591817-a,/c/en/continent
00591953-a,/c/en/incontinent
00592222-a,/c/en/continual
00593374-a,/c/en/sporadic
00594413-a,/c/en/continuous
00596769-a,/c/en/discontinuous
00597424-a,/c/en/continuous
00597599-a,/c/en/discontinuous
00597758-a,/c/en/continued
00598203-a,/c/en/discontinued
00598679-a,/c/en/controlled
00599821-a,/c/en/uncontrolled
00601783-a,/c/en/controversial
00602721-a,/c/en/uncontroversial
00603367-a,/c/en/argumentative
00604399-a,/c/en/unargumentative
00604617-a,/c/en/convenient
00605128-a,/c/en/inconvenient
